City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Vestmannaeyjar,IS,63.4427,-20.2734,27.19,89,98,13.2,overcast clouds
236,Bethel,US,41.3712,-73.414,31.95,64,5,1.01,clear sky
237,Gat,IL,31.61,34.7642,52.39,63,96,2.48,overcast clouds
238,Abha,SA,18.2164,42.5053,48.45,81,20,0.0,few clouds
239,Lavrentiya,RU,65.5833,-171.0,-5.75,92,5,10.78,clear sky
240,Yellowknife,CA,62.456,-114.3525,-1.44,78,100,11.5,light snow
241,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,93,100,12.93,light rain
242,Ritchie,ZA,-29.038,24.6028,75.24,26,38,1.88,scattered clouds
243,Nakasongola,UG,1.3089,32.4564,64.17,92,100,3.0,light rain
244,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,20.71,scattered clouds
245,Fuxin,CN,42.0156,121.6589,10.81,47,0,6.44,clear sky
246,Daru,PG,-9.0763,143.2092,77.32,88,100,13.6,moderate rain
247,Broken Hill,AU,-31.95,141.4333,91.06,20,93,17.16,overcast clouds
248,Talcahuano,CL,-36.7167,-73.1167,64.08,45,20,17.27,few clouds
249,Lander,US,42.833,-108.7307,44.98,64,100,19.35,overcast clouds
250,Norman Wells,CA,65.282,-126.8329,-14.76,70,100,0.0,light snow
251,Mercedes,AR,-34.6515,-59.4307,76.03,36,2,8.97,clear sky
252,Necochea,AR,-38.5473,-58.7368,62.24,83,100,18.41,overcast clouds
253,Udachnyy,RU,66.4167,112.4,2.44,84,88,8.14,overcast clouds
254,Yar-Sale,RU,66.8333,70.8333,-11.96,97,26,8.12,scattered clouds
255,Kaduqli,SD,11.0167,29.7167,65.25,25,0,12.3,clear sky
256,Pangnirtung,CA,66.1451,-65.7125,0.64,62,82,7.34,broken clouds
257,Nelson Bay,AU,-32.7167,152.15,82.45,68,0,15.99,clear sky
258,Estelle,US,29.8458,-90.1067,52.0,63,20,3.44,few clouds
259,Makakilo City,US,21.3469,-158.0858,82.15,57,0,11.5,clear sky
260,Bud,US,39.447,-86.1758,30.22,88,91,11.07,overcast clouds
261,Vardo,NO,70.3705,31.1107,17.58,86,100,19.57,overcast clouds
262,Timmins,CA,48.4669,-81.3331,17.42,79,100,8.05,light snow
263,Provideniya,RU,64.3833,-173.3,6.91,85,40,24.61,scattered clouds
264,Emerald,AU,-23.5333,148.1667,81.34,48,2,9.44,clear sky
265,Haines Junction,CA,60.7522,-137.5108,25.09,97,100,1.79,overcast clouds
266,Sabha,LY,27.0377,14.4283,53.85,48,0,9.64,clear sky
267,Klaksvik,FO,62.2266,-6.589,36.52,80,100,20.4,light rain
268,Naze,JP,28.3667,129.4833,58.12,74,100,10.11,overcast clouds
269,Porto Walter,BR,-8.2686,-72.7439,75.51,75,99,2.68,overcast clouds
270,Vieste,IT,41.8825,16.175,56.44,77,0,3.13,clear sky
271,Port Elizabeth,ZA,-33.918,25.5701,68.29,83,20,19.57,few clouds
272,Rawson,AR,-43.3002,-65.1023,58.68,50,94,14.16,overcast clouds
273,Karonga,MW,-9.9333,33.9333,71.69,87,95,3.67,light rain
274,Sorland,NO,67.667,12.6934,31.86,96,100,36.6,snow
275,Saint Anthony,US,45.0205,-93.218,24.15,80,0,12.66,clear sky
276,Port Blair,IN,11.6667,92.75,73.44,88,40,2.3,scattered clouds
277,Pangkalanbuun,ID,-2.6833,111.6167,81.09,75,100,3.89,overcast clouds
278,San Jeronimo,PE,-11.9472,-75.2829,48.4,85,100,1.81,overcast clouds
279,Husavik,IS,66.0449,-17.3389,21.06,93,100,10.42,snow
280,Chenzhou,CN,25.8,113.0333,38.77,92,100,5.5,overcast clouds
281,General Roca,AR,-39.0333,-67.5833,77.63,12,100,12.48,overcast clouds
282,Taitung,TW,22.7583,121.1444,66.47,77,75,3.44,broken clouds
283,Kutum,SD,14.2,24.6667,49.87,42,0,8.88,clear sky
284,Dukhovnitskoye,RU,52.4828,48.2137,12.63,99,86,3.58,overcast clouds
285,Bonanza,NI,14.0289,-84.591,70.34,93,0,4.03,clear sky
286,Althofen,AT,46.8818,14.4676,42.15,96,93,1.54,overcast clouds
287,Bulungu,CD,-4.55,18.6,70.43,95,73,1.92,light rain
288,Primero De Marzo,PY,-25.153,-56.928,68.85,94,88,8.55,overcast clouds
289,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,46,75,10.36,haze
290,Ketchikan,US,55.3422,-131.6461,39.67,87,40,6.91,scattered clouds
291,Malanville,BJ,11.8685,3.3899,68.9,23,2,10.13,clear sky
292,Qixingtai,CN,30.4135,111.8874,41.65,43,100,3.94,overcast clouds
293,Linping,CN,30.4225,120.2972,40.95,71,82,6.76,broken clouds
294,Kormilovka,RU,55.0026,74.1028,14.2,96,100,3.0,light snow
295,Mount Gambier,AU,-37.8333,140.7667,65.23,45,0,14.58,clear sky
296,Sao Joao Dos Patos,BR,-6.495,-43.7022,77.2,68,100,0.83,overcast clouds
297,Great Yarmouth,GB,52.6083,1.7305,48.51,89,100,23.69,overcast clouds
298,Turbat,PK,26.0023,63.044,68.54,83,100,3.2,light rain
299,Skjervoy,NO,70.0311,20.9714,24.8,73,83,21.18,broken clouds
300,San Patricio,US,28.017,-97.5169,53.17,65,4,7.54,clear sky
301,Hervey Bay,AU,-25.2986,152.8535,77.23,57,14,16.84,few clouds
302,Ust-Kulom,RU,61.6864,53.6902,-3.57,100,100,2.04,overcast clouds
303,Mordovo,RU,52.0834,40.77,30.38,97,100,16.31,snow
304,Pacific Grove,US,36.6177,-121.9166,56.88,94,100,4.61,mist
305,Anuradhapura,LK,8.3565,80.4173,71.6,98,46,3.96,scattered clouds
306,Bairiki,KI,1.3292,172.9752,80.78,80,74,14.61,light rain
307,Kuytun,RU,54.3419,101.5036,2.59,97,100,4.16,overcast clouds
308,Orange Cove,US,36.6244,-119.3137,55.62,100,40,14.97,moderate rain
309,Tynda,RU,55.1667,124.7167,-13.31,94,100,2.84,overcast clouds
310,Kundiawa,PG,-6.0167,144.9667,72.09,74,100,2.98,overcast clouds
311,Skowhegan,US,44.7651,-69.7192,24.46,70,36,2.77,scattered clouds
312,Camacupa,AO,-12.0167,17.4833,59.59,93,98,2.73,overcast clouds
313,Kisangani,CD,0.5167,25.2,67.5,69,94,0.98,overcast clouds
314,Isangel,VU,-19.55,169.2667,78.91,94,100,9.22,moderate rain
315,Ulladulla,AU,-35.35,150.4667,83.75,41,0,15.82,clear sky
316,Ahipara,NZ,-35.1667,173.1667,70.47,72,40,1.74,scattered clouds
317,Cap-Aux-Meules,CA,47.3821,-61.8597,28.45,93,75,21.85,light snow
318,Kyren,RU,51.6828,102.1408,3.02,86,45,1.43,scattered clouds
319,Lodja,CD,-3.4833,23.4333,68.7,99,100,1.3,light rain
320,Miri,MY,4.4148,114.0089,79.16,88,40,2.3,scattered clouds
321,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.61,83,10,8.32,clear sky
322,Calabozo,VE,8.9242,-67.4293,82.35,54,76,5.17,broken clouds
323,Bereda,ES,43.2686,-7.5406,48.15,100,99,4.99,overcast clouds
324,Umm Lajj,SA,25.0213,37.2685,64.24,46,0,22.39,clear sky
325,Kamenka,RU,51.3223,42.7678,26.82,93,100,15.93,overcast clouds
326,Winsum,NL,53.33,6.5208,43.99,92,100,24.96,overcast clouds
327,Boguchany,RU,58.3814,97.4531,6.96,99,100,3.02,overcast clouds
328,Mankono,CI,8.0586,-6.1897,73.08,35,1,1.36,clear sky
329,Nathdwara,IN,24.9333,73.8167,43.79,25,0,3.67,clear sky
330,Lixourion,GR,38.2019,20.4314,57.31,84,25,5.14,scattered clouds
331,Tocopilla,CL,-22.092,-70.1979,70.5,74,4,9.4,clear sky
332,Nemuro,JP,43.3236,145.575,32.92,73,12,4.97,few clouds
333,Laguna,US,38.421,-121.4238,54.75,94,100,12.66,overcast clouds
334,Richards Bay,ZA,-28.783,32.0377,71.87,89,75,8.23,broken clouds
335,Huilong,CN,31.8111,121.655,43.93,57,100,10.65,overcast clouds
336,Ilulissat,GL,69.2167,-51.1,-3.64,68,51,7.52,broken clouds
337,Artvin,TR,41.1667,41.8333,36.95,76,100,3.47,overcast clouds
338,Codrington,AU,-38.2667,141.9667,65.91,49,0,20.54,clear sky
339,Pombas,CV,17.1503,-25.0201,69.58,61,0,11.59,clear sky
340,Cotonou,BJ,6.3654,2.4183,78.78,78,20,2.3,few clouds
341,Nenjiang,CN,49.1833,125.2167,0.46,98,98,2.51,overcast clouds
342,Salinas,US,36.6777,-121.6555,57.81,87,100,8.05,mist
343,Coos Bay,US,43.3665,-124.2179,51.93,89,100,17.47,overcast clouds
344,Lahan,NP,26.7296,86.4951,50.95,57,0,2.42,clear sky
345,Rabo De Peixe,PT,37.8,-25.5833,60.31,88,75,14.97,light intensity shower rain
346,Tiksi,RU,71.6872,128.8694,-19.21,100,94,4.61,overcast clouds
347,Elko,US,41.0002,-115.5012,40.23,89,100,11.99,overcast clouds
348,Astana,KZ,51.1801,71.446,-4.05,84,0,4.47,clear sky
349,Mazamet,FR,43.49,2.373,44.08,93,0,5.75,clear sky
350,Renala Khurd,PK,30.8833,73.6,51.01,31,57,4.47,broken clouds
351,Tual,ID,-5.6667,132.75,83.5,74,100,20.42,overcast clouds
352,Adrar,MR,20.5022,-10.0711,66.16,25,33,10.6,scattered clouds
353,Januaria,BR,-15.4833,-44.3667,69.21,96,80,3.47,light rain
354,Alice Springs,AU,-23.7,133.8833,88.21,40,40,14.97,scattered clouds
355,Alyangula,AU,-13.8483,136.4192,84.78,73,100,9.91,overcast clouds
356,Nanakuli,US,21.3906,-158.1547,81.99,65,4,5.28,clear sky
357,Korablino,RU,53.9164,40.0133,28.67,97,100,15.61,snow
358,Dingle,PH,10.9995,122.6711,74.39,95,100,8.66,overcast clouds
359,Makaha,US,21.4694,-158.2175,81.95,64,5,3.65,clear sky
360,Aykhal,RU,66.0,111.5,0.77,95,87,19.01,overcast clouds
361,Kesan,TR,40.8558,26.6303,53.1,89,9,2.28,clear sky
362,Shaoyang,CN,27.2315,111.4525,35.73,92,100,4.7,overcast clouds
363,Buraydah,SA,26.326,43.975,46.85,68,0,8.86,clear sky
364,Morant Bay,JM,17.8815,-76.4093,80.22,83,6,9.22,clear sky
365,Mon,IN,26.75,95.1,48.88,97,3,3.09,clear sky
366,Portland,US,45.5234,-122.6762,45.84,91,100,5.99,overcast clouds
367,Neiafu,TO,-18.65,-173.9833,86.68,79,40,5.75,scattered clouds
368,Caidian,CN,30.5833,114.0333,37.53,47,100,6.89,light rain
369,Geraldton,AU,-28.7667,114.6,81.01,32,0,18.41,clear sky
370,Tayoltita,MX,24.0833,-105.9333,58.73,42,0,2.66,clear sky
371,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-17.34,100,92,4.43,overcast clouds
372,Biscarrosse,FR,44.3945,-1.1672,44.55,100,100,1.14,fog
373,San Andres,CO,12.5847,-81.7006,80.62,78,20,6.91,few clouds
374,Naron,ES,43.5167,-8.1528,51.91,87,96,14.27,overcast clouds
375,Chikwawa,MW,-16.0335,34.8009,72.41,96,100,2.62,overcast clouds
376,Saint-Felicien,CA,48.6501,-72.4491,0.28,71,20,3.44,few clouds
377,Dodoma,TZ,-6.1722,35.7395,65.35,92,100,3.53,light rain
378,Vagur,FO,61.4732,-6.8119,40.6,76,96,12.57,overcast clouds
379,Coxim,BR,-18.5067,-54.76,78.6,75,27,5.03,scattered clouds
380,Yerbogachen,RU,61.2767,108.0108,7.54,94,99,9.55,overcast clouds
381,Skibbereen,IE,51.55,-9.2667,50.11,90,100,6.8,overcast clouds
382,Marzuq,YE,14.4,46.4667,64.09,70,44,2.01,scattered clouds
383,Aswan,EG,24.0934,32.907,54.7,50,0,4.61,clear sky
384,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,17.27,light rain and snow
385,Tommot,RU,58.9564,126.2925,-41.21,100,67,0.51,broken clouds
386,Saint-Pierre,RE,-21.3393,55.4781,75.9,73,0,4.61,clear sky
387,Ballina,AU,-28.8667,153.5667,70.79,62,17,9.91,few clouds
388,Nueva Loja,EC,0.0847,-76.8828,72.68,66,3,0.94,clear sky
389,Asfi,MA,32.2994,-9.2372,60.03,71,0,2.33,clear sky
390,Kota Bahru,MY,6.1333,102.2386,71.55,100,20,2.3,few clouds
391,Asau,RO,46.4333,26.4,34.72,82,9,3.42,clear sky
392,Sai Buri,TH,6.7013,101.6168,73.11,81,100,7.29,overcast clouds
393,Yamada,JP,39.4667,141.95,43.23,68,100,5.91,overcast clouds
394,Marathon,US,44.9,-89.7668,18.66,79,100,11.5,overcast clouds
395,Kuryk,KZ,43.2,51.65,34.38,82,9,3.2,clear sky
396,Umm Kaddadah,SD,13.6017,26.6876,55.15,38,0,14.7,clear sky
397,Kabelvag,NO,68.2114,14.4817,33.82,75,89,1.68,light snow
398,Tilichiki,RU,60.4667,166.1,-2.13,87,4,11.41,clear sky
399,Tairua,NZ,-37.0167,175.85,71.62,56,4,9.84,clear sky
400,Talnakh,RU,69.4865,88.3972,2.21,97,100,5.26,overcast clouds
401,Leh,IN,34.1667,77.5833,7.05,63,1,3.74,clear sky
402,Yenagoa,NG,4.9247,6.2642,74.61,73,58,2.57,broken clouds
403,Wamba,NG,8.9333,8.6,67.21,33,6,3.98,clear sky
404,College,US,64.8569,-147.8028,2.59,76,100,3.44,light snow
405,Callander,GB,56.2441,-4.2164,47.35,99,100,7.99,overcast clouds
406,Te Anau,NZ,-45.4167,167.7167,81.03,36,0,5.39,clear sky
407,Ajaccio,FR,42.0,8.9167,44.65,81,0,9.22,clear sky
408,Bousse,BF,12.6606,-1.8922,67.55,25,89,9.37,overcast clouds
409,Garden City,US,42.3256,-83.331,24.89,83,100,10.36,overcast clouds
410,Hays,US,30.0502,-98.0336,51.75,51,100,1.99,overcast clouds
411,Sonoita,MX,31.85,-112.8333,65.44,31,100,7.63,overcast clouds
412,Alenquer,BR,-1.9417,-54.7383,73.33,97,100,3.94,light rain
413,Bosobolo,CD,4.1833,19.9,71.28,37,100,3.8,overcast clouds
414,Souillac,MU,-20.5167,57.5167,77.38,73,40,10.36,scattered clouds
415,Grand Gaube,MU,-20.0064,57.6608,77.4,67,4,5.99,clear sky
416,Cayenne,GF,4.9333,-52.3333,75.24,94,75,3.44,broken clouds
417,Encarnacion,PY,-27.3333,-55.9,68.52,94,100,9.22,overcast clouds
418,Tessalit,ML,20.1986,1.0114,65.68,27,100,10.76,overcast clouds
419,Taksimo,RU,56.3444,114.8794,-19.88,84,11,0.92,few clouds
420,Panzhihua,CN,26.5851,101.7128,44.37,90,100,6.13,overcast clouds
