City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nampula,MZ,69.69,light rain,-15.1165,39.2666,No hotel found
1,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,No hotel found
2,Busselton,AU,66.47,clear sky,-33.65,115.3333,No hotel found
4,Rikitea,PF,78.33,broken clouds,-23.1203,-134.9692,No hotel found
11,Daman,IN,68.09,clear sky,20.4167,72.85,No hotel found
16,Atuona,PF,77.79,overcast clouds,-9.8,-139.0333,No hotel found
17,Wattegama,LK,71.62,clear sky,6.7989,81.4808,No hotel found
23,Samarai,PG,78.91,overcast clouds,-10.6167,150.6667,No hotel found
25,Georgetown,MY,78.73,few clouds,5.4112,100.3354,No hotel found
26,Ponta Do Sol,PT,66.13,clear sky,32.6667,-17.1,No hotel found
28,Cape Town,ZA,71.38,clear sky,-33.9258,18.4232,No hotel found
31,Atar,MR,68.07,overcast clouds,20.5169,-13.0499,No hotel found
32,Hobart,AU,76.86,broken clouds,-42.8794,147.3294,No hotel found
33,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,No hotel found
36,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,No hotel found
42,Port Alfred,ZA,69.19,overcast clouds,-33.5906,26.891,No hotel found
47,Mar Del Plata,AR,70.09,light rain,-38.0023,-57.5575,No hotel found
53,Rio Grande,BR,69.91,overcast clouds,-32.035,-52.0986,No hotel found
54,Hambantota,LK,71.94,few clouds,6.1241,81.1185,No hotel found
55,Caravelas,BR,73.76,overcast clouds,-17.7125,-39.2481,No hotel found
56,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,No hotel found
58,Amapa,BR,71.04,light rain,1.0,-52.0,No hotel found
59,San Jose De Guanipa,VE,75.29,clear sky,8.8872,-64.1651,No hotel found
60,Bredasdorp,ZA,66.88,overcast clouds,-34.5322,20.0403,No hotel found
61,Warragul,AU,78.04,light rain,-38.1667,145.9333,No hotel found
64,La Libertad,EC,76.66,clear sky,-2.2333,-80.9,No hotel found
66,Cidreira,BR,68.61,light rain,-30.1811,-50.2056,No hotel found
67,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,No hotel found
68,New Norfolk,AU,76.5,light rain,-42.7826,147.0587,No hotel found
72,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,No hotel found
75,Sao Filipe,CV,70.48,broken clouds,14.8961,-24.4956,No hotel found
77,Chimbote,PE,68.95,overcast clouds,-9.0853,-78.5783,No hotel found
80,Touros,BR,78.98,clear sky,-5.1989,-35.4608,No hotel found
83,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,No hotel found
86,Dondo,MZ,76.51,scattered clouds,-19.6094,34.7431,No hotel found
95,Ibra,OM,65.8,broken clouds,22.6906,58.5334,No hotel found
103,Salalah,OM,71.69,scattered clouds,17.0151,54.0924,No hotel found
105,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,No hotel found
107,Pathein,MM,68.83,clear sky,16.7833,94.7333,No hotel found
116,Nishihara,JP,65.48,scattered clouds,26.1842,127.7558,No hotel found
117,Belmonte,BR,75.04,broken clouds,-15.8631,-38.8828,No hotel found
119,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,No hotel found
123,Soyo,AO,78.58,overcast clouds,-6.1349,12.3689,No hotel found
126,Hokitika,NZ,69.03,clear sky,-42.7167,170.9667,No hotel found
131,Christchurch,NZ,73.42,few clouds,-43.5333,172.6333,No hotel found
136,Manggar,ID,79.11,overcast clouds,-2.8833,108.2667,No hotel found
137,Taquarituba,BR,67.37,clear sky,-23.5331,-49.2444,No hotel found
140,Pisco,PE,71.65,clear sky,-13.7,-76.2167,No hotel found
141,Maracacume,BR,73.47,light rain,-2.0428,-45.9592,No hotel found
145,Coruripe,BR,76.55,clear sky,-10.1256,-36.1756,No hotel found
147,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,No hotel found
151,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,No hotel found
153,Agua Verde,MX,71.67,clear sky,22.9,-106.05,No hotel found
161,Marica,BR,76.95,overcast clouds,-22.9194,-42.8186,No hotel found
163,Tuy Hoa,VN,69.55,scattered clouds,13.0833,109.3,No hotel found
164,Kaitangata,NZ,72.0,few clouds,-46.2817,169.8464,No hotel found
165,Gwadar,PK,72.95,light rain,25.1216,62.3254,No hotel found
167,Wanning,CN,68.27,overcast clouds,18.8003,110.3967,No hotel found
170,Launceston,AU,73.04,light rain,-41.45,147.1667,No hotel found
173,Mossendjo,CG,69.49,moderate rain,-2.9506,12.7261,No hotel found
181,Barabai,ID,78.46,light rain,-2.5833,115.3833,No hotel found
186,Airai,TL,68.29,overcast clouds,-8.9266,125.4092,No hotel found
187,Ondjiva,AO,78.66,broken clouds,-17.0667,15.7333,No hotel found
190,Lazaro Cardenas,MX,75.85,few clouds,17.9583,-102.2,No hotel found
192,Vao,NC,78.44,light rain,-22.6667,167.4833,No hotel found
194,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,No hotel found
201,East London,ZA,69.21,broken clouds,-33.0153,27.9116,No hotel found
202,Chuy,UY,65.66,overcast clouds,-33.6971,-53.4616,No hotel found
204,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,No hotel found
207,Tomatlan,MX,72.73,clear sky,19.9333,-105.25,No hotel found
213,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,No hotel found
216,San Rafael,AR,70.39,broken clouds,-34.6177,-68.3301,No hotel found
217,Namibe,AO,70.25,scattered clouds,-15.1961,12.1522,No hotel found
220,Morondava,MG,77.49,clear sky,-20.2833,44.2833,No hotel found
222,Dunedin,NZ,70.47,clear sky,-45.8742,170.5036,No hotel found
223,Axim,GH,77.61,scattered clouds,4.8699,-2.2405,No hotel found
226,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,No hotel found
227,Chilca,PE,69.35,overcast clouds,-12.5211,-76.7372,No hotel found
228,Acajutla,SV,77.97,clear sky,13.5928,-89.8275,No hotel found
229,Vallenar,CL,71.82,clear sky,-28.5708,-70.7581,No hotel found
234,Acapulco,MX,76.3,light rain,16.8634,-99.8901,No hotel found
242,Ritchie,ZA,75.24,scattered clouds,-29.038,24.6028,No hotel found
244,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,No hotel found
246,Daru,PG,77.32,moderate rain,-9.0763,143.2092,No hotel found
251,Mercedes,AR,76.03,clear sky,-34.6515,-59.4307,No hotel found
255,Kaduqli,SD,65.25,clear sky,11.0167,29.7167,No hotel found
269,Porto Walter,BR,75.51,overcast clouds,-8.2686,-72.7439,No hotel found
271,Port Elizabeth,ZA,68.29,few clouds,-33.918,25.5701,No hotel found
273,Karonga,MW,71.69,light rain,-9.9333,33.9333,No hotel found
276,Port Blair,IN,73.44,scattered clouds,11.6667,92.75,No hotel found
281,General Roca,AR,77.63,overcast clouds,-39.0333,-67.5833,No hotel found
282,Taitung,TW,66.47,broken clouds,22.7583,121.1444,No hotel found
285,Bonanza,NI,70.34,clear sky,14.0289,-84.591,No hotel found
287,Bulungu,CD,70.43,light rain,-4.55,18.6,No hotel found
288,Primero De Marzo,PY,68.85,overcast clouds,-25.153,-56.928,No hotel found
289,Los Llanos De Aridane,ES,66.13,haze,28.6585,-17.9182,No hotel found
291,Malanville,BJ,68.9,clear sky,11.8685,3.3899,No hotel found
295,Mount Gambier,AU,65.23,clear sky,-37.8333,140.7667,No hotel found
296,Sao Joao Dos Patos,BR,77.2,overcast clouds,-6.495,-43.7022,No hotel found
298,Turbat,PK,68.54,light rain,26.0023,63.044,No hotel found
301,Hervey Bay,AU,77.23,few clouds,-25.2986,152.8535,No hotel found
305,Anuradhapura,LK,71.6,scattered clouds,8.3565,80.4173,No hotel found
310,Kundiawa,PG,72.09,overcast clouds,-6.0167,144.9667,No hotel found
313,Kisangani,CD,67.5,overcast clouds,0.5167,25.2,No hotel found
314,Isangel,VU,78.91,moderate rain,-19.55,169.2667,No hotel found
316,Ahipara,NZ,70.47,scattered clouds,-35.1667,173.1667,No hotel found
319,Lodja,CD,68.7,light rain,-3.4833,23.4333,No hotel found
320,Miri,MY,79.16,scattered clouds,4.4148,114.0089,No hotel found
321,Sao Jose Da Coroa Grande,BR,77.61,clear sky,-8.8978,-35.1478,No hotel found
328,Mankono,CI,73.08,clear sky,8.0586,-6.1897,No hotel found
331,Tocopilla,CL,70.5,clear sky,-22.092,-70.1979,No hotel found
